,year,counts
0,1949,1275
1,1950,1419
2,1951,1349
3,1952,1622
4,1953,1637
5,1954,2232
6,1955,1965
7,1956,1961
8,1957,2138
9,1958,1889
10,1959,1635
11,1960,1402
12,1961,949
13,1962,2451
14,1963,2934
15,1964,2721
16,1965,2679
17,1966,2554
18,1967,2543
19,1968,2731
20,1969,2690
21,1970,2710
22,1971,2551
23,1972,2550
24,1973,2447
25,1974,2226
26,1975,2102
27,1976,1849
28,1977,1783
29,1978,1733
30,1979,1715
31,1980,1776
32,1981,2064
33,1982,2230
34,1983,2052
35,1984,2050
36,1985,2196
37,1986,2374
38,1987,2508
39,1988,2445
40,1989,2396
41,1990,2374
42,1991,2250
43,1992,2113
44,1993,2120
45,1994,2098
46,1995,2052
47,1996,2057
48,1997,2028
49,1998,1934
50,1999,1827
51,2000,1765
52,2001,1696
53,2002,1641
54,2003,1594
55,2004,1588
56,2005,1612
57,2006,1581
58,2007,1591
59,2008,1604
60,2009,1587
61,2010,1588
62,2011,1600
63,2012,1635
64,2013,1640
65,2014,1687
66,2015,1655
67,2016,1786
68,2017,1723
69,2018,1523
70,2019,1465
71,2020,2020年: 1200
72,2021,1062
