年龄,合计,男合计 ,女合计,比例合计,男,女,(女=100)
0,11988057,6312409,5675648,0.85,0.45,0.40,111.22
1,14383791,7559981,6823810,1.02,0.54,0.48,110.79
2,15266778,8020423,7246355,1.08,0.57,0.51,110.68
3,18418078,9670005,8748073,1.31,0.69,0.62,110.54
4,17827184,9406513,8420671,1.26,0.67,0.60,111.71
5,16547271,8765848,7781423,1.17,0.62,0.55,112.65
6,18591806,9881523,8710283,1.32,0.70,0.62,113.45
7,17963157,9548981,8414176,1.27,0.68,0.60,113.49
8,19353752,10317678,9036074,1.37,0.73,0.64,114.18
9,17788070,9503428,8284642,1.26,0.67,0.59,114.71
10,17347565,9285412,8062153,1.23,0.66,0.57,115.17
11,17695044,9462024,8233020,1.26,0.67,0.58,114.93
12,17356919,9279079,8077840,1.23,0.66,0.57,114.87
13,16677054,8920655,7756399,1.18,0.63,0.55,115.01
14,16179412,8659620,7519792,1.15,0.61,0.53,115.16
15,15323224,8225995,7097229,1.09,0.58,0.50,115.90
16,15218156,8195908,7022248,1.08,0.58,0.50,116.71
17,13730626,7401041,6329585,0.97,0.52,0.45,116.93
18,14043179,7560195,6482984,1.00,0.54,0.46,116.62
19,14368955,7670204,6698751,1.02,0.54,0.48,114.50
20,14563347,7742857,6820490,1.03,0.55,0.48,113.52
21,13935509,7389412,6546097,0.99,0.52,0.46,112.88
22,15249809,8078183,7171626,1.08,0.57,0.51,112.64
23,15325970,8103460,7222510,1.09,0.57,0.51,112.20
24,15867040,8362083,7504957,1.13,0.59,0.53,111.42
25,17146447,9042474,8103973,1.22,0.64,0.57,111.58
26,16826988,8845171,7981817,1.19,0.63,0.57,110.82
27,18298935,9588428,8710507,1.30,0.68,0.62,110.08
28,19060645,9975395,9085250,1.35,0.71,0.64,109.80
29,20514317,10710802,9803515,1.46,0.76,0.70,109.25
30,25973082,13463923,12509159,1.84,0.96,0.89,107.63
31,25451203,13094627,12356576,1.81,0.93,0.88,105.97
32,24037711,12335076,11702635,1.71,0.87,0.83,105.40
33,25946853,13315974,12630879,1.84,0.94,0.90,105.42
34,22736341,11662208,11074133,1.61,0.83,0.79,105.31
35,19586332,10077433,9508899,1.39,0.71,0.67,105.98
36,19499941,10034259,9465682,1.38,0.71,0.67,106.01
37,19063741,9815714,9248027,1.35,0.70,0.66,106.14
38,21799284,11217120,10582164,1.55,0.80,0.75,106.00
39,19063634,9787511,9276123,1.35,0.69,0.66,105.51
40,17540717,8997291,8543426,1.24,0.64,0.61,105.31
41,19339617,9934985,9404632,1.37,0.70,0.67,105.64
42,18564211,9492205,9072006,1.32,0.67,0.64,104.63
43,17758286,9097039,8661247,1.26,0.65,0.61,105.03
44,19752499,10111174,9641325,1.40,0.72,0.68,104.87
45,20259918,10335133,9924785,1.44,0.73,0.70,104.13
46,22208985,11305313,10903672,1.58,0.80,0.77,103.68
47,23233417,11844299,11389118,1.65,0.84,0.81,104.00
48,23862010,12147117,11714893,1.69,0.86,0.83,103.69
49,24660557,12559824,12100733,1.75,0.89,0.86,103.79
50,26062036,13149971,12912065,1.85,0.93,0.92,101.84
51,24444570,12342864,12101706,1.73,0.88,0.86,101.99
52,26105080,13149508,12955572,1.85,0.93,0.92,101.50
53,20959668,10539231,10420437,1.49,0.75,0.74,101.14
54,23592942,11923896,11669046,1.67,0.85,0.83,102.18
55,23106155,11648724,11457431,1.64,0.83,0.81,101.67
56,22559346,11301683,11257663,1.60,0.80,0.80,100.39
57,26044142,13130492,12913650,1.85,0.93,0.92,101.68
58,19132096,9562232,9569864,1.36,0.68,0.68,99.92
59,10559047,5172895,5386152,0.75,0.37,0.38,96.04
60,12899885,6442344,6457541,0.92,0.46,0.46,99.76
61,12135959,6148108,5987851,0.86,0.44,0.42,102.68
62,15464277,7832019,7632258,1.10,0.56,0.54,102.62
63,17232007,8678055,8553952,1.22,0.62,0.61,101.45
64,15650810,7770599,7880211,1.11,0.55,0.56,98.61
65,16295105,8101750,8193355,1.16,0.57,0.58,98.88
66,16248455,8003803,8244652,1.15,0.57,0.58,97.08
67,14620318,7147712,7472606,1.04,0.51,0.53,95.65
