,source,hash,ctx,mod,slots,var,std,max-min
0,default,md5,default,default,100,174181.86,419.45354060643325,2374
1,default,doublemd5,default,default,100,195337.34,444.19640300709824,2087
2,default,dwmd5,default,default,100,183503.82,430.5315249077516,2153
3,default,mmh3,default,default,100,251441.24,503.9653266892977,2511
4,default,blake2b,default,default,100,240526.28,492.9055065464763,2567
5,default,md5,salt,default,100,227295.54,479.15702493593324,2199
6,default,doublemd5,salt,default,100,168199.28,412.1871694100419,1962
7,default,dwmd5,salt,default,100,222403.36,473.97242386647196,2066
8,default,mmh3,salt,default,100,183800.68,430.8796264912656,2710
9,default,blake2b,salt,default,100,178736.5,424.9022466308212,2357
10,default,md5,reverse,default,100,172654.24,417.61013184814163,1903
11,default,doublemd5,reverse,default,100,153722.18,394.04939955915336,2250
12,default,dwmd5,reverse,default,100,225396.98,477.15167103523504,2599
13,default,mmh3,reverse,default,100,228804.28,480.74466647424634,2170
14,default,blake2b,reverse,default,100,213568.3,464.46265248731845,2506
